manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes / comments
Optar Illumina,,25 - 80mm,3.3,3',,,,,,,,
,,,,,,,,,,,,
Optex,Canon,150 - 600mm,f/5.6,,,,,,,,,
,,,,,,,,,,,,
Optica Elite,,17 - 35mm,2.8,"12""",,110mm,,1500g,121mm,PL,,
,,24 - 82mm,2.8,"3' 4""",,90mm,,1500g,203mm,PL,,
,,120 - 520mm,3.0,"13' 2""",,182mm,,16000g,735mm,PL,,
,,,,,,,,,,,,
Panavision,Primo,17.5 - 75mm,2.3,"33""",,119mm,,4722g,291mm,PV,,
,Primo,24 - 275mm,2.8,"48""",,153mm,,8944g,355mm,PV,,
,Primo,135 - 420mm,2.8,"102""",,168mm,,11395g,476mm,PV,,
,Primo Macro,14.5 - 50mm,2.2,"15""",,162 x 131mm,,4313g,257mm,PV,,
,Primo Compact,19 - 90mm,2.9,"2' 3""",,126.5mm,,3300g,200mm,PV,,
,Nova,15 - 40mm,2.6,"24""",,126.5mm,,2600g,189mm,PV,,
,Nova,27 - 75mm,2.8,"30""",,126.5mm,,2600g,219mm,PV,,
,Nova,60 - 125mm,2.8,"42""",,126.5mm,,2900g,218mm,PV,,
,Spherical Telephoto Zoom,70 - 200mm,3.1,"4' 9""",,,,,,,,
,LWZ,27 - 68mm,2.8,"36""",,98mm,,908g,123mm,PV,,
,LWZ2,17.5 - 34mm,2.8,"18""",,86mm,,681g,98mm,PV,,
,LWZ3,85 - 200mm,4.0,"48""",,86mm,,1135g,159mm,PV,,
,Pana-Cooke,20 - 100mm,3.1,"60""",,144mm,,7151g,312mm,PV,,
,Pana-Cooke,25 - 250mm,4.0,"66""",,119mm,,5766g,285mm,PV,,
,Pana-Angenieux,20 - 120mm,3.0,"42""",,141mm,,6924g,303mm,PV,,
,Pana-Canon,150 - 600mm,6.3,"120""",,,,,,,,
,,,,,,,,,,,,
Red,Pro Zoom,18 - 85mm,2.9,"2' 2""",,,,,,PL,,
,,17 - 50mm,2.9,"8""",,,,,,PL,,
,,50 - 150mm,3.0,"3' 6""",,,,,,PL,,
,,,,,,,,,,,,
Sigma,Cine Lens,18 - 35mm,2.0,"11""",28.4mm,95mm,82mm,1505g,156mm,PL / EF / E,,
,,50 - 100mm,2.0,"3' 2""",28.4mm,95mm,82mm,1945g,201mm,PL / EF / E,,
,,,,,,,,,,,,
Sony,SCL-P11X15,11 - 16mm,3.0,"14""",,114mm,,1100g,112mm,PL,,
,,,,,,,,,,,,
Technovision,Techno-Cooke,25 - 250mm,2.5,"7' 6""",,,,9979g,,,,
,,18 - 90mm,2.8,"2' 7""",,,,,,,,
,,18.5 - 55.5mm,2.4,"2' 4""",,,,5670g,,,,
,,,,,,,,,,,,
Tokina,Cinema ATX,11 - 16mm,3.0,"12""",30mm,85mm,82mm,690g,86.5mm,PL / EF / E,9,
,,11 - 20mm,2.9,"12""",30mm,95mm,86mm,1030g,86mm,PL / EF / E / F / MFT,9,
