manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,entrance pupil,magnification ratio (H),notes
,,300mm,2.8,"8' 3""",31.14mm,95mm,,,220mm,PL,,,,
,,,,,,,,,,,,,,
,Scorpio Zoom,138 - 405mm,4.3,5',31.14mm,95mm,,3300g,288mm,PL,,,,
,,,,,,,,,,,,,,
SLR Magic,Anamorphot Cine (1.33x),35mm,2.4,,32mm,,82mm,1100g,135mm,PL,12,,,rotating front
,,50mm,2.8,,44mm,,82mm,1100g,135mm,PL,12,,,rotating front
,,70mm,4.0,,44mm,,82mm,1100g,135mm,PL,12,,,rotating front
,,,,,,,,,,,,,,
Technovision,Cooke,32mm,2.3,"3' 5""",,,,1800g,,,,,,
,,40mm,3.0,3',,,,2600g,,,,,,
,,50mm,2.5,"3' 6""",,,,3200g,,,,,,
,,75mm,2.5,"3' 6""",,,,3500g,,,,,,
,,100mm,2.8,"2' 10""",,,,4200g,,,,,,
,,,,,,,,,,,,,,
,Zeiss Superspeed,20mm,1.4,"3' 6""",,,,,,,,,,
,,35mm,1.4,3',,,,3800g,,,,,,
,,40mm,1.4,3',,,,1600g,,,,,,
,,50mm,1.4,3',,,,1800g,,,,,,
,,85mm,1.4,3',,,,2400g,,,,,,
,,,,,,,,,,,,,,
,Zeiss Standard Speed,25mm,2.0,"3' 6""",,,,5200g,,,,,,
,,32mm,2.1,4',,,,2200g,,,,,,
,,40mm,2.1,"3' 6""",,,,1600g,,,,,,
,,50mm,2.1,3',,,,2000g,,,,,,
,,85mm,2.1,4',,,,2400g,,,,,,
,,100mm,2.0,"3' 6""",,,,3200g,,,,,,
,,200mm,2.8,3',,,,1000g,,,,,,
,,,,,,,,,,,,,,
Todd-AO,,28mm,3.9,5',,124mm,,1400g,73mm,,,,,
,,35mm,1.4,3',,130mm,,2800g,185mm,,,,,
,,38mm,2.3,3',,124mm,,2200g,127mm,,,,,
,,50mm,2.3,3',,,,2000g,,,,,,
,,55mm,1.4,"1' 10""",,95mm,,2000g,165mm,,,,,
,,75mm,2.5,3',,98.5mm,,2200g,162mm,,,,,
,,100mm,3.4,3',,98mm,,2700g,210mm,,,,,
,,200mm,4.0,"1' 6""",,80mm,,1800g,168mm,,,,,
,,,,,,,,,,,,,,
,Canon,24mm,1.6,,,,,,,,,,,
,,35mm,1.4,"2' 6""",,130mm,,3600g,187mm,,,,,
,,55mm,1.4,"2' 3""",,,,2000g,,,,,,
,,85mm,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,
Zeiss,Ultrascope,40mm,2.0,,,,,,,,,,,
,,50mm,2.0,,,,,,,,,,,
,,85mm,2.0,,,,,,,,,,,
,,135mm,4.0,,,,,,,,,,,
,,76 - 300mm,8.0?,,,,,,,,,,,
